id,name,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank
37111,"Battlestar Galactica: The Board Game",2008,101,7.53893,7.73083,36633,0,,,,,,,32,
163068,"Trickerion: Legends of Illusion",2015,102,7.53784,7.97467,11089,0,,,,,,75,,
236457,"Architects of the West Kingdom",2018,103,7.53685,7.73158,29515,0,,,,,,94,,
332772,Revive,2022,104,7.53426,8.14384,7674,0,,,,,,63,,
291453,SCOUT,2019,105,7.53281,7.82354,16513,0,,,,15,,,,
366161,"Wingspan Asia",2022,106,7.53231,8.30447,6280,0,,,,9,,69,,
365717,"Clank!: Catacombs",2022,107,7.5308,8.27472,6377,0,,,,11,,65,,
310873,Carnegie,2022,108,7.52848,8.01813,9475,0,,,,,,71,,
122515,Keyflower,2012,109,7.52341,7.72439,23288,0,,,,,,90,,
170042,"Raiders of the North Sea",2015,110,7.52101,7.73659,24375,0,,,,,,98,,
42,"Tigris & Euphrates",1997,111,7.51719,7.70304,28820,0,,,,,,97,,
40834,"Dominion: Intrigue",2009,112,7.51531,7.69006,33791,0,,,,,,106,,
18602,Caylus,2005,113,7.51516,7.71509,29253,0,,,,,,96,,
203993,"Lorenzo il Magnifico",2016,114,7.51397,7.8496,13980,0,,,,,,87,,
271055,"Dwellings of Eldervale",2020,115,7.51379,8.16806,7414,0,,,,,,70,,
73439,Troyes,2010,116,7.5107,7.71459,23678,0,,,,,,93,,
146021,"Eldritch Horror",2013,117,7.50979,7.75212,36769,0,,,,,,,36,
172386,Mombasa,2015,118,7.50876,7.85131,13327,0,,,,,,86,,
269385,"The Lord of the Rings: Journeys in Middle-Earth",2019,119,7.50662,7.91653,16558,0,,,,,,,29,
322289,"Darwin's Journey",2023,120,7.50576,8.17875,6892,0,,,,,,66,,
364073,"Splendor Duel",2022,121,7.50258,7.92721,11684,0,,,,16,,92,,
180263,"The 7th Continent",2017,122,7.50002,7.80156,22382,0,,,,,,,33,
217372,"The Quest for El Dorado",2017,123,7.49511,7.68688,26325,0,,,,18,,,,
12493,"Twilight Imperium: Third Edition",2005,124,7.49452,7.79334,19314,0,,,,,,114,34,
144733,"Russian Railroads",2013,125,7.48689,7.73409,18087,0,,,,,,95,,
163412,Patchwork,2014,126,7.48678,7.59443,66798,0,5,,,20,,,,
277659,"Final Girl",2021,127,7.48664,8.28103,6713,0,,,,,,,26,
102680,Trajan,2011,128,7.48523,7.75077,17852,0,,,,,,99,,
36218,Dominion,2008,129,7.48055,7.59871,91558,0,,,,,,134,,
4098,"Age of Steam",2002,130,7.47726,7.84706,11440,0,,,,,,88,,
205896,"Rising Sun",2018,131,7.47529,7.77256,21485,0,,,,,,119,,
12,Ra,1999,132,7.47373,7.64054,26592,0,,,,,,112,,
43015,"Hansa Teutonica",2009,133,7.46983,7.7433,15807,0,,,,,,103,,
175640,"Vinhos: Deluxe Edition",2016,134,7.46583,8.08932,6995,0,,,,,,80,,
218417,"Aeon's End: War Eternal",2017,135,7.4654,8.25323,5776,0,,,,,,82,,
310100,"Nemesis: Lockdown",2022,136,7.45719,8.32349,5912,0,,,,,,,27,
233371,"Clank! In! Space!: A Deck-Building Adventure",2017,137,7.45603,7.78485,14593,0,,,,19,,113,,
198928,Iberia,2016,138,7.45468,7.88567,10951,0,,,,,,109,,
